"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00344308606108859,0.602154355829639,0.479,0.376,1,"4","Prkce"
0.00348347448759513,0.42004427966368,0.527,0.399,1,"4","Usp10"
0.0035160180413306,0.295395195137378,0.838,0.721,1,"4","Zbtb7a"
0.00351775485460038,0.502306833953978,0.467,0.366,1,"4","Myg1"
0.00354419640113556,0.762364754359472,0.455,0.367,1,"4","Nol12"
0.00354562245963905,0.276481309758903,0.551,0.439,1,"4","Rfwd2"
0.00356876088714285,0.393093156549502,0.635,0.523,1,"4","Zfp704"
0.00357392046194039,0.302304462026346,0.329,0.229,1,"4","Sema6d"
0.00358832398713401,0.676308324411001,0.491,0.379,1,"4","Prr14"
0.00363415517806161,0.40558117303951,0.701,0.592,1,"4","Usp22"
0.00365872811496124,0.393439259478523,0.593,0.472,1,"4","Ift81"
0.00367649244593801,0.289307672013399,0.707,0.633,1,"4","Jtb"
0.00370337195437317,0.366572687550571,0.599,0.488,1,"4","Dhx36"
0.00370510795781167,0.38425917460994,0.623,0.553,1,"4","2610005L07Rik"
0.00372060095759653,0.3262869891175,0.449,0.333,1,"4","Plekha3"
0.00372800377628088,0.320837649947984,0.587,0.472,1,"4","Rnf216"
0.0037561573501821,1.15288614865552,0.257,0.174,1,"4","Zbtb40"
0.00376049452974076,0.811869712491101,0.371,0.277,1,"4","Alg9"
0.00376435486277703,0.455944479951166,0.365,0.263,1,"4","Plekha2"
0.00376722728932298,0.527647975866386,0.359,0.258,1,"4","Slc39a3"
0.00378047196175869,0.590413718059653,0.263,0.173,1,"4","1700049G17Rik"
0.00381612519229687,0.333200366293709,0.347,0.239,1,"4","Ino80b"
0.00381747903675923,0.676135233683624,0.251,0.165,1,"4","Zfp53"
0.00384282332873624,0.419219877968631,0.575,0.452,1,"4","Ylpm1"
0.00386760329427649,0.309778411423966,0.299,0.203,1,"4","Trmt2b"
0.00387362519512937,0.303116462255286,0.515,0.412,1,"4","Med31"
0.00388450670111423,0.707331363752619,0.401,0.305,1,"4","Nudt7"
0.0038919248878935,0.365918335819019,0.407,0.308,1,"4","H2-M3"
0.00391473079764934,0.477724951066056,0.593,0.483,1,"4","Ubxn6"
0.00392236169590815,0.296273333428274,0.533,0.414,1,"4","4933421O10Rik"
0.00392297854033105,0.449128909150653,0.653,0.552,1,"4","Akap8l"
0.00395354801062934,0.410439712420972,0.449,0.34,1,"4","Polr1c"
0.00395583473784268,0.470383870882762,0.413,0.312,1,"4","Aebp2"
0.0039559467214309,0.902571575026359,0.353,0.248,1,"4","Slc25a42"
0.00395858256857633,0.318049810379536,0.341,0.24,1,"4","Cyp4f13"
0.00397949465510343,0.299303591736781,0.479,0.349,1,"4","Zdhhc17"
0.00399748829984369,0.320957381368504,0.581,0.467,1,"4","Cnot2"
0.00400815800775418,0.267238143898024,0.449,0.325,1,"4","Pmpca"
0.00401644970915684,0.752783663114097,0.299,0.201,1,"4","Zfp84"
